Entity,Code,Day,people_vaccinated_per_hundred,willingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop
Australia,AUS,2021-02-15,0,52.98,19.05,27.97
Australia,AUS,2021-07-15,27.66,31,15.68,25.66
Canada,CAN,2020-12-15,0,48.85,19.8,31.35
Canada,CAN,2021-05-15,44.26,22.99,9.47,23.28
Denmark,DNK,2021-01-15,2.71,63.9,15.17,18.22
Denmark,DNK,2021-06-15,48.92,26.17,10.31,14.6
France,FRA,2021-01-15,0.62,35.4,17.45,46.53
France,FRA,2021-07-15,54.8,7.87,7.63,29.7
Germany,DEU,2021-01-15,1.31,51.33,16.63,30.73
Germany,DEU,2021-07-15,59.28,8.36,8.13,24.23
Italy,ITA,2021-01-15,1.85,54.25,17.66,26.24
Italy,ITA,2021-07-15,60.08,10.48,9.34,20.1
Japan,JPN,2021-03-15,0.22,53.28,25.07,21.43
Japan,JPN,2021-07-15,34.65,36.63,15.16,13.56
Netherlands,NLD,2021-01-15,0.2,61.61,18.05,20.14
Netherlands,NLD,2021-02-15,4.05,58.64,16.8,20.51
Norway,NOR,2020-12-15,0,45.7,21.8,32.5
Norway,NOR,2021-07-15,59.21,13.38,7.34,20.07
Singapore,SGP,2021-01-15,0.11,36.32,34.87,28.7
Singapore,SGP,2021-06-15,46.16,28.51,13.12,12.21
South Korea,KOR,2021-03-15,1.18,48.37,27.51,22.94
South Korea,KOR,2021-07-15,31.14,36.32,18.65,13.89
Spain,ESP,2021-01-15,1.64,51.88,20.93,25.55
Spain,ESP,2021-07-15,62.1,15.72,8,14.18
Sweden,SWE,2021-01-15,0.51,55.58,17.31,26.6
Sweden,SWE,2021-07-15,56.47,12.33,8.1,23.1
United Kingdom,GBR,2020-12-15,0.13,71.17,10.91,17.79
United Kingdom,GBR,2021-05-15,53.87,28.6,4.51,13.02
United States,USA,2021-02-15,11.45,41.77,13.38,33.4
United States,USA,2021-07-15,55.36,7.45,8.51,28.68
